账号名称,视频名称,视频观看量(W),弹幕数（W）,类别分类,风格分类（playful patriotism）,上游视频发布主体,上游视频数量,上游视频浏览量,下游视频发布主体,下游视频数量,下游视频浏览量,所属四类类别
观察者网,白宫前官员评特朗普：中国人在笑，这家伙在埋葬美国,479.9,2.4,（3）政治外交类,playful,N/A,N/A,N/A,N/A,N/A,N/A,
广东共青团,“不好意思，先出警…”,493.8,0.6419,（1）国家、民族精神体现类,not playful,N/A,N/A,N/A,Official & Non-official,4,"5,482,000",
浙江共青团,【无损原声】《钢铁洪流进行曲》阅兵式上震撼人心的神曲,489.1,0.9773,（1）国家、民族精神体现类,not playful,N/A,N/A,N/A,Official & Non-official,1000,"12,342,000",歌曲：典型例子
观察者网,印度官员带儿子视察村落，在镜头前被枪杀,485,0.3084,（3）政治外交类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
观察者网,骁话一下：种族动乱年年上演，美国权贵为何还能稳坐泰,474.9,8,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
浙江共青团,攻击中国的心脏：天安门金水桥袭击事件背后的故事【英文纪录片大,480.6,0,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,Non-official,1,"44,000",
观察者网,骁话一下：1862年就得到解放，为什么美国黑人至今无法,468.5,8.3,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,新闻联播点名饭圈女孩、帝吧网友、海外留学生,461.6,3.5,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,Official,2,"624,000",
央视新闻,谁妄想欺负中国必将碰得头破血流！,482.3,0,（5）思想教育、价值观引导类,not playful,N/A,N/A,N/A,Official & Non-official,4,"673,000",
广东共青团,钟南山说破了美国真相,453.2,3159,（3）政治外交类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
共青团中央,太快了。太快了……,447.3,179,（2）国家成就类,not playful,N/A,N/A,N/A,Non-official,1,"54,000",
广东共青团,“滚！不想打就滚！”,439.8,1.7,（1）国家、民族精神体现类,not playful,N/A,N/A,N/A,N/A,N/A,N/A,
广东共青团,“糖丸爷爷”的最后遗言是：值得…值得……,454.5,3.7,（1）国家、民族精神体现类,not playful,Official & Non-official,100,"491,000",Official & Non-official,800,"396,000",
河南共青团,攻击性不大，但侮辱性极强！东北主持高情商回怼围攻李子,456.6,0.7413,（3）政治外交类,playful,N/A,N/A,N/A,Official & Non-official,1000,"2,586,000",
央视网快看, 读书的力量！撒贝宁神仙开场白,498.3,0.5657,（4）国家民族历史与文化类,not playful,N/A,N/A,N/A,Official & Non-official,150,"116,000",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
